m,Transaction Description,Category,Amount,Account Name,Account Type
2024-02-10,Particular pull opportunity throughout.,Rent,350.4,Valencia-Thomas,Credit Card
2024-01-19,Car financial security stock ball.,Health,-456.7,Boyle-Newton,Savings
2024-02-06,Court free dream PM her.,Shopping,476.53,Keller-Harrington,Savings
2024-01-21,Themselves all the nothing sign.,Shopping,-261.82,Cruz-Anderson,Credit Card
2024-01-02,Close ask.,Dining,223.61,Morales PLC,Savings
2024-01-13,Land those traditional.,Rent,356.27,Perez-Fletcher,Checking
2024-01-25,Sense this manager fine level.,Shopping,38.99,"Moon, Reynolds and Howard",Credit Card
2024-01-24,Could yourself plan base.,Groceries,157.92,Saunders-Klein,Savings
2024-01-20,Would I question.,Utilities,-146.1,Delacruz-Castillo,Credit Card
2024-02-08,About add senior woman.,Shopping,-415.15,Martinez-Moore,Checking
2024-02-10,Partner couple part cup few.,Entertainment,480.51,Paul LLC,Credit Card
2024-01-15,Beyond take however.,Entertainment,177.65,Perez-Becker,Checking
2024-01-24,Against trial.,Services,-203.48,Marshall-Murray,Savings
2024-01-18,Technology card.,Shopping,-64.7,"Poole, Walker and Ross",Credit Card
2024-01-29,Stage population boy child surface.,Dining,449.44,Tucker-Edwards,Credit Card
2024-01-11,American race.,Groceries,-419.86,"Smith, Ruiz and Long",Credit Card
2024-01-25,Fire happen nothing support suffer.,Services,-137.63,Hoover Group,Savings
2024-01-07,Pretty Republican total policy head.,Groceries,-2.4,Johnston Inc,Credit Card
2024-01-14,Condition heart fact catch even.,Shopping,85.47,Davis-Gonzalez,Credit Card
2024-01-07,Smile responsibility full per.,Entertainment,-302.5,White-White,Checking
2024-02-06,Especially change.,Health,-242.93,"Diaz, Hall and Williams",Checking
2024-01-05,Face house nature fall long.,Shopping,-155.21,Nichols-Anderson,Credit Card
2024-01-31,Value film tax.,Services,-216.86,"Obrien, Gaines and Miller",Savings
2024-02-08,Few structure.,Rent,-270.63,Gonzalez-Smith,Checking
2024-01-13,Increase between training.,Groceries,80.34,"Mathis, Jones and Thompson",Checking
2024-01-26,Front something speech buy.,Rent,-424.63,Perez Group,Savings
2024-02-04,Record interview.,Health,263.85,Wells-Smith,Credit Card
2024-02-09,Friend reach choose.,Shopping,-318.92,James Inc,Savings
2024-01-30,Phone heart window.,Transport,-433.59,"Blevins, Johnson and Reed",Savings
2024-01-08,Assume be.,Dining,-41.02,Wilcox-Byrd,Checking
2024-01-16,Article account hour.,Groceries,-347.18,"Taylor, Holmes and King",Checking
2024-01-05,Face turn small research describe.,Utilities,40.07,Espinoza LLC,Credit Card
2024-02-05,Happy write.,Health,-404.73,Schwartz PLC,Credit Card
2024-01-04,One coach court.,Dining,-163.02,"Taylor, Clark and Daugherty",Credit Card
2024-02-11,Ask tell.,Health,194.29,Harris-Romero,Credit Card
2024-02-03,Total later.,Shopping,43.8,Hansen Ltd,Checking
2024-01-17,Budget huge debate.,Transport,52,Martinez-Barry,Credit Card
2024-01-23,Young something.,Rent,-263.94,White-Kelley,Credit Card
2024-01-28,Chair cup her national character.,Entertainment,473.78,Butler Group,Credit Card
2024-01-05,Work chance image quite there.,Rent,-424.34,Cunningham LLC,Credit Card
2024-01-18,Quickly thousand street your.,Dining,256.1,Chavez LLC,Savings
2024-01-22,Myself use act.,Dining,485.77,Rowe-Jenkins,Checking
2024-01-16,Stand along chance either.,Entertainment,-285.41,Cummings-Smith,Credit Card
2024-01-30,Success on responsibility.,Services,366.17,Benjamin-Rowe,Credit Card
2024-02-01,At be than always.,Rent,-394.96,Jordan LLC,Checking
2024-01-10,Candidate feel serve.,Entertainment,396.59,Alvarez-Perez,Checking
2024-01-27,Former claim chance prevent.,Groceries,453.76,Ward-Tucker,Credit Card
2024-01-24,Measure too maybe off.,Groceries,-178.78,Novak PLC,Credit Card
2024-01-22,Serious wrong section town deal.,Dining,-199.46,"Miller, Evans and Holmes",Checking
2024-01-26,Top individual win suddenly win.,Entertainment,-24.42,"Martinez, Brown and Cooper",Savings
2024-01-13,Only surface something prevent a.,Transport,102.09,Berg-Trujillo,Savings
2024-01-04,Few now four.,Transport,100.39,Myers-Lopez,Checking
2024-02-09,Teacher wall field impact.,Health,112.65,Lee-Myers,Credit Card
2024-01-27,Artist political camera expert.,Transport,125.05,Barron-Fleming,Checking
2024-01-01,Area along individual man.,Utilities,-250.37,"Lopez, Murphy and Stone",Checking
2024-01-05,Response purpose character would in.,Dining,-267.09,"Marquez, Wheeler and Hamilton",Checking
2024-02-04,Letter learn big sing after.,Health,-71.12,"Barker, Snyder and Alvarado",Checking
2024-02-10,Pay picture black near get.,Health,93.65,George Inc,Credit Card
2024-01-20,Situation since book art.,Rent,-128.65,Freeman PLC,Credit Card
2024-02-04,Pass value practice wide.,Transport,210.71,Peters-Gonzalez,Savings
2024-02-10,Fast support when hold family.,Health,-89.42,Brown and Sons,Credit Card
2024-02-08,Million size country.,Shopping,-309.01,Sawyer-Bishop,Credit Card
2024-02-02,Know series lay smile.,Shopping,-382,"Cohen, Atkins and Todd",Checking
2024-01-31,What top.,Dining,-389.7,Middleton-Walters,Savings
2024-01-01,Main too.,Health,275.83,Mcclure-Morgan,Savings
2024-01-30,Project occur democratic behavior standard.,Entertainment,207.62,"Lee, Watson and Bridges",Credit Card
2024-01-24,Single recognize information figure box.,Rent,-164.77,"Kim, Gonzales and Alvarado",Savings
2024-02-10,Through instead base bit.,Dining,-267,Jones-Robinson,Savings
2024-01-17,Between similar.,Utilities,-422.12,Walton Group,Credit Card
2024-01-12,Social issue.,Transport,139.39,Zimmerman-Clark,Savings
2024-02-05,Air try while reveal.,Utilities,-331.49,Padilla-Smith,Credit Card
2024-01-16,Good building.,Groceries,-360.07,Miller Group,Savings
2024-02-04,Generation concern.,Entertainment,-354.36,"Hudson, Gibbs and Fernandez",Savings
2024-01-04,Standard audience throw.,Utilities,85.37,"Smith, Ferrell and Taylor",Credit Card
2024-01-10,About probably rule.,Utilities,314.41,"Knox, Parker and Stephens",Savings
